会,カイ エ アツ.マ,あ.う あ.わせる,reunião- conhecer- festa- associação- entrevista- participar
同,ドウ,おな.じ,mesmo- concordo- igual
事,ジ ズ ツ カ.エ,こと つか.う,assunto- coisa- fato- negócio- razão- possivelmente
自,ジ シ オノ.ズ,みずか.ら おの.ずから,si mesmo
社,シャ ヤシ,,empresa- escritório- associação- santuário
発,ハツ ホツ ハナ.,た.つ あば.く おこ.る つか.わす,descarga- partida- publicar- emitir- começar de- divulgar
者,シャ,もの,alguém- pessoa
地,チ,,chão- terra
業,ギョウ ゴウ ワ,,negócios- vocação- artes- performance
方,ホウ -ガ,かた -かた,direção- pessoa- alternativa
新,シン,あたら.しい あら.た あら- にい,novo
場,ジョウ チョウ,ば,localização- lugar
員,イ,,funcionário- membro- número- o responsável
立,リツ リュウ リットル -ダ.テ,た.つ -た.つ た.ち- た.てる -た.てる た.て- たて- -た.て -だ.て,ficar de pé
開,カイ ア.ケ,ひら.く ひら.き -びら.き ひら.ける あ.く,abrir- desdobrar- abrir
手,シュズ,て て- -て た-, mão
力,リョク リキ リイ チカ,,poder- forte- tensão- suportar- exercer
問,モント,と.う と.い,pergunta- problema
代,ダイ タイ シ,か.わる かわ.る かわ.り -がわ.り か.える よ,substituir- alterar- converter- substituir- período- idade- geração- cobrar- taxa- taxa
明,メイ ミョウ ミン ア.カ,あ.かり あか.るい あか.るむ あか.らむ あき.らか あ.ける -あ.け あ.く あ.くる,luz brilhante
動,ドウ ウゴ.カ,うご.く,movimento- movimento- mudança- confusão- mudança- sacudir
京,キョウ ケイ キン ミヤ,,capital- 10**16
目,モク ボク,め -め ま,olho- classe- aparência- visão- experiência- cuidado- favor
通,ツウ ツ カヨ.,とお.る とお.り -とお.り -どお.り とお.す とお.し -どお.し,tráfego- passagem- avenida- comutação- contador de cartas
言,ゲン ゴン コ,い.う,dizer
理,リ コ ト ワ,,lógica- arranjo- razão- justiça- verdade
体,タイ テイ カタ,からだ,corpo- substância- objeto- realidade- contador de imagens
田,デン,,campo de arroz - arrozal
主,シュ ス シュウ アル,ぬし おも,senhor- chefe- mestre- coisa principal- principal
題,ダイ,,tópico- assunto
意,,,ideia- mente- coração- gosto- pensamento- desejo- cuidado- gostar
不,フ ブ,,negativo- não-- ruim- feio- desajeitado
作,サク サ -ヅク.,つく.る つく.り,fazer- produção- preparar- construir
用,ヨウ モチ.イ,,utilizar- negócio- serviço- usar- empregar
度,ド ト タク -タ.,たび,graus- ocorrência- tempo- contador de ocorrências
強,キョウ ゴウ コワ.,つよ.い つよ.まる つよ.める し.いる,forte
公,コウ ク オオヤ,,público- príncipe- oficial- governamental
持,ジ モ.テ,も.つ -も.ち,segurar- ter
野,ヤ シ ョ,の の,planícies- campo- rústico- vida civil
以,イ モ ッ.,, por meio de- porque- em vista de- em comparação com
思,シ,おも.う おもえら.く おぼ.す,pensar
家,カ ケ ウ,いえや,casa Lar
世,セイ セ ソウ サンジュ,よ,geração- mundo- sociedade- público
多,タ,おお.い まさ.に まさ.る,muitos- frequente- muito
正,セイ ショウ マサ.,ただ.しい ただ.す まさ,correto- justiça- justo- 10**40
安,アン ヤス.ラ,やす.い やす.まる やす,relaxe- barato- baixo- quieto- descansado- contente- pacífico
院,イン,,Inst.- instituição- templo- mansão- escola
心,,りっしんべん,coração-mente-espírito
界,カイ,,mundo
教,キョウ オソ.ワ,おし.える,ensinar- fé- doutrina
文,ブン モン ア,ふみ,frase- literatura- estilo- arte- decoração- figuras- plano
元,ゲン ガン モ,,início- tempo anterior- origem
重,ジュウ チョウ オ,え おも.い おも.り おも.なう かさ.ねる かさ.なる,pesado- amontoar- empilhar- amontoar- caixas- -dobrar
近,キン コン チカ.,, quase- precoce- semelhante- equivalente
考,コウ カンガ.,かんが.える,considere- pense sobre
画,ガ カク エ カイ,えが.く かく.する かぎ.る はかりごと はか.る,pincelada- imagem
海,カイウ,,Mar oceano
売,バイ ウ.レ,う.る,vender
知,チ シ.ラセ,し.る,saber- sabedoria
道,ドウ トウ ミ,,estrada-via- rua- distrito- jornada- curso- moral- ensinamentos
集,シュウ ツド.,あつ.まる あつ.める,reunir- reunir- reunir- enxame- rebanho
別,ベツワ.ケ,わか.れる,separar- ramificar- divergir- bifurcar- outro- extra- especialmente
物,ブツ モツ,もの もの-, coisa-objeto-matéria
使,シ,つか.う つか.い -つか.い -づか.い,usar
品,ヒン ホン,しな,mercadoria- requinte- dignidade- artigo- balcão para pratos de refeição
計,ケイ ハカ.ラ,はか.る,enredo- plano- esquema- medida
死,シ,し.ぬ し.に-, morte- morrer
特,トク,,especial
私,シ,わたくし わたし,privado- eu- eu
始,シ ハジ.マ,はじ.める -はじ.める,começar- começar
朝,チョウア,,manhã- dinastia- regime- época- período- Coreia do Norte
運,ウン,はこ.ぶ,carregar- sorte- destino- destino- lote- transporte- progresso- avanço
終,シュウ ツイ.,お.わる -お.わる おわ.る お.える つい,fim-acabamento
台,ダイ タイ,うてな われ つかさ,pedestal- um stand- balcão para máquinas e veículos
